"spam"	"num_char"	"line_breaks"	"format"	"number"
"1"	0	21.705	551	1	"small"
"2"	0	7.011	183	1	"big"
"3"	0	0.631	28	0	"none"
"4"	0	2.454	61	0	"small"
"5"	0	41.623	1088	1	"small"
"6"	0	0.057	5	0	"small"
"7"	0	0.809	17	0	"small"
"8"	0	5.229	88	1	"small"
"9"	0	9.277	242	1	"small"
"10"	0	17.17	578	1	"small"
"11"	0	64.401	1167	1	"small"
"12"	0	10.368	198	1	"big"
"13"	0	42.793	712	1	"big"
"14"	1	0.451	24	0	"small"
"15"	0	29.233	604	1	"small"
"16"	0	9.794	197	1	"small"
"17"	0	2.139	60	1	"small"
"18"	0	0.13	5	0	"none"
"19"	0	4.945	120	1	"small"
"20"	1	11.533	291	1	"small"
"21"	0	5.682	87	1	"small"
"22"	0	6.768	81	1	"small"
"23"	0	0.086	5	0	"none"
"24"	0	3.07	65	1	"small"
"25"	0	26.52	692	1	"big"
"26"	0	26.255	654	1	"small"
"27"	0	5.259	140	1	"small"
"28"	1	2.78	69	0	"small"
"29"	0	5.864	142	1	"small"
"30"	1	9.928	219	1	"small"
"31"	0	25.209	725	1	"small"
"32"	0	6.563	140	1	"big"
"33"	0	24.599	621	1	"small"
"34"	0	25.757	645	1	"small"
"35"	1	0.409	13	0	"small"
"36"	0	11.223	512	1	"big"
"37"	0	3.778	98	1	"small"
"38"	0	1.493	35	0	"none"
"39"	0	10.613	225	1	"big"
"40"	0	0.493	13	1	"none"
"41"	1	4.415	61	0	"small"
"42"	0	14.156	300	1	"small"
"43"	0	9.491	233	1	"small"
"44"	0	24.837	629	1	"small"
"45"	0	0.684	17	1	"small"
"46"	0	13.502	193	0	"none"
"47"	1	2.789	44	0	"small"
"48"	0	1.169	35	1	"small"
"49"	0	8.937	211	1	"small"
"50"	0	15.829	242	1	"small"
